id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,distance_city_center,degree,avg_neighbor_price,avg_neighbor_distance,neighbor_price_std,clustering_coefficient
7129300520,20141013T000000,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,60,11.97268710865934,6,306833.3333333333,0.0010074159029580553,94997.71927086813,0.6666666666666666
6414100192,20141209T000000,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,64,12.802819128182398,7,407785.71428571426,0.0012878990545830914,46008.92770508164,0.5714285714285714
5631500400,20150225T000000,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,82,16.41696039194398,7,483942.85714285716,0.001793438670482502,137361.97747973367,0.5238095238095238
2487200875,20141209T000000,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,50,10.538233096639551,5,633300.0,0.0018448916426899169,215372.23590797398,0.6
1954400510,20150218T000000,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,28,21.55397908821327,6,516166.6666666667,0.001064931099679448,37247.37127189872,0.7333333333333333
1321400060,20140627T000000,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,20,32.97152528040854,8,235425.0,0.002407689026492798,36625.342514244345,0.5
2008000270,20150115T000000,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,52,21.909721452568828,5,272600.0,0.002395434235519373,73025.1668947083,0.8
2414600126,20150415T000000,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,55,10.447675514442086,5,240330.0,0.0018482397498338892,56553.13430748114,0.6
3793500160,20150312T000000,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,12,34.80033827531504,6,363658.3333333333,0.0011560807882663555,76326.5380890989,0.8
1736800520,20150403T000000,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,50,14.040968436788017,8,580287.5,0.002094649114649399,232593.5844680895,0.5
9212900260,20140527T000000,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,73,9.790352463265409,5,673724.0,0.0024240108640804876,239150.52347841515,0.4
